name,gender
"FIA FAUZIYAH AGUSTINA","female"
"RIASTINGKO","male"
"IRMA SITI ROCHIMAH","female"
"NUR HADIAT","female"
"CARINA","female"
"REDUARD TUMAMBA SIAHAAN","male"
"EKA SYAHPUTRA ROMADHAN","male"
"DIFA EKA SINATRYA","male"
"DANIEL GANESHA M. ADHISURYA","male"
"SETIAWATI SUTANTO","female"
"LINDA HASTUTI","female"
"SALBIYAH","female"
"MUHAMAD TEGUH ARIANTO","male"
"NOVRINA BUDIASTRI","female"
"GILANG PRATAMA","male"
"DEDI ALI AHMAD","male"
"SITI MASITA","female"
"SOEPARMAN.DT","male"
"NY.MIRAWATI ZAINI","female"
"DINI RAHMAH","female"
"DR MAGDALENA D TOBING","female"
"NY LATIFAH AMIATI","female"
"LILI HANDAYANI","female"
"FEBRIAN, SH","male"
"HERU UTOMO","male"
"DIMAS DWI HARIADI","male"
"MAS'UD","male"
"TAN MAYA","female"
"ZULKIFLI","male"
"MUS'AB","male"
"SITI FATIMAH AYUNINGDYAH","female"
"INDRAWAN TANAYA","male"
"I GUSTI NGURAH GDE ANTIKA","male"
"YUSI RUMCIARTI","female"
"SUYATMI","female"
"AGUNG TRI SETIADI","male"
"EKA SEPTIYANI MUJRIYAH","female"
"DENNY TRI PRASETYO","male"
"ROSANIH","female"
"NENY MAYANI","female"
"JOSHEILY FEBRINA","female"
"ENGKING TARKENI","female"
"NY.DAISY DIANA BILONDATU","female"
"NURHASANAH","female"
"SUKADI","male"
"DR TJAN SOEN ENG","male"
"MARDIANA","female"
"E M A D","male"
"ALOYSIUS RABATA BAYU CHRISSANTO","male"
"JAYANTI MANDASARI","female"
"DJAKARIA","male"
"SITI NAPIAH","female"
"ERNA SUHANA","female"
"ADE CAHYATI","female"
"SATSIWI RATIH BINTARTI","female"
"AUDREY SETIADARMA","female"
"MIRJAM NUGRAHA","female"
"ALEXANDER BOBBY RASHID","male"
"SUSIATI","female"
"RUKMIMIN","female"
"LILY SULIASTUTY SUMARTA","female"
"ROYANIH","female"
"NUR EFENDI","male"
"AURA RAHMATANIA","female"
"KLARTJE","female"
"NURDIANSYAH","male"
"AGUS SULAIMAN","male"
"NY.NUNUK SRI SARSINI","female"
"PAULINA RETNA PUTRI","female"
"DRS.ADRIANUS BASUKI.P.","male"
"NURUL EMILLIA","female"
"TEUKU MOCHAMAD SYAFEI.S","male"
"YOSEPH SISWANTO","male"
"BUSTANUL FIRDAUS","male"
"AHMAD SAFRUDIN","male"
"DEDE WAHYUDI","male"
"LILY SUTANTO","female"
"DWI DARYANA","male"
"SRI ROKHANAH","female"
"NY.NURHAYATI","female"
"FRANCISCUS XAVERIUS FERI A","male"
"ROMLI","male"
"TRISNAWATI","female"
"ILFAN WIDIYANTO","male"
"ANTON PUJI PRASETYO","male"
"LENY WIYATI","female"
"NADHIFA SALMA ANDYARA","female"
"SITI AMINAH","female"
"",""
"SANI YULIANTO","male"
"MANISEM","female"
"TJUT MUTIA","female"
"ABD ROHIM","male"
"SARI RAHMAWATI, SE","female"
"SAHIDIN","male"
"DATU MAULANA","male"
"SONY SANTOSA SATARI","male"
"EVA LIANA","female"
"AHMAD FAUZI","male"
"MUH RIDWAN DAENG NUSU","male"
"ATI ERNAWATI","female"
"ISWANTO","male"
"MAHWANIH","female"
"BENJAMIN JUSUF E. M. ADHISURYA","male"
"DARWANTI JULIASTUTI","female"
"MUHAMMAD WAHID","male"
"NY.RUSTI ASTUTI.S","female"
"MILLATI SARI","female"
"BARNA SULAEMAN","male"
"LUTHFIYYAH NAURAH BAYU","female"
"MENKO TANTULAR","male"
"FAUZAN AZIMA","male"
"YULISTIKA UTAMI","female"
"SHAFARA WINDY CARISSA","female"
"H.T O Y I B","male"
"MUHAMMAD EDY YURINALDO","male"
"TATTY SETIAWATI","female"
"ADIKA PRASETIA","male"
"IR MUH AINUR ROFIQ","male"
"ASFIMA AISYA TUSIN PUTRI","female"
"FARIS HENDRA SETIAWAN","male"
"AKBAR QAEDI RASJID","male"
"ROMENAH","female"
"FITHALIANA","female"
"AGUNG MUTIA","male"
"SA'ODAH","female"
"IR TANTO ISKANDAR","male"
"LASIH","female"
"WIBOWO DHANI","male"
"WAHYU GUNAWAN","male"
"FRISKA OPFIANTI","female"
"FARA DEWI","female"
"FIRMAN DODY PENALOSA","male"
"MUNASEH","male"
"RIO AGUS SEPTIYADI","male"
"IPAH","female"
"MAIMUNAH","female"
"AGUS YULIANTO","male"
"MUHAMMAD IBNU SINA","male"
"KARMILA","female"
"SUHARTINI","female"
"JIMMY MELKY","male"
"SAADAH","female"
"NY FRIEDA JOHANA SUMOLANG","female"
"TRI WIDADI","male"
"HASAN","male"
"KORNELLIS LAURENCE","male"
"MARLITA HARTONO","female"
"ALIMAH","female"
"H.SUGINO","male"
"NURHAYA","female"
"IR.ANS TARUNADJAYA","male"
"ALBIKA IZATI","male"
"FORTUNE","male"
"NOVIA TRI SAVIRA","female"
"DIAH LEDY HESTIATI","female"
"SAUT GANDHI P. TAMPUBOLON","male"
"HENNY PRABAYANTI","female"
"TRIYANTO","male"
"DRG NANY, MM","female"
"TASIROH","female"
"SAH ROBY","male"
"ADHIKA SIGIT RAMANTO","male"
"RIFQI SYAWAL GHAZIAN","male"
"JAYANTI SARI","female"
"NYI SAADAH","female"
"SIGIT WAHYUDI","male"
"IMELDA HADDE","female"
"IR HANDAYANI L.MBA","female"
"NIKI MARCELLINA MAY","female"
"HENRY HUSSEIN","male"
"M U N A H","female"
"ACHMAD SOFYAN","male"
"TOMMY ALEXANDER","male"
"NURDIYANAH","female"
"WIJAYADI","male"
"ASEP SUGIARTO","male"
"DINDA SYAFIRA","female"
"ERICK NOVANDI","male"
"LILI RAMLI","male"
"ARIEF KRISTIYANTO","male"
"IMELDA PUSPITA SARI","female"
"CHAIRUL HIMIN","male"
"MISNGADI YUDHA","male"
"ABIZAR IQBAL T","male"
"TARA PRISCILLA","female"
"MELIANA SANDRAWATI LESTARI","female"
"NADIRA SARASWATI","female"
"PALEN ERNILA","female"
"DANIS KISWANTORO","male"
"AHMAD BIN ASHARI","male"
"YENI SETYAWATI","female"
"EFRI RISASILA PUTRI","female"
"ABU BAKAR SIDIK","male"
"PIHARTANTI","female"
"Y.RANI SARASVATI SUTOPO","female"
"RATNASARI ISDALINA","female"
"KATNO","male"
"IR GRACIANA SOERIA DANOENINGRAT","female"
"SOETADI LIMIN","male"
"ZAENAH","female"
"HENDY SIDIK","male"
"SOPIAH","female"
"NURHAYATI","female"
"SUHRIAH HANNUM","female"
"",""
"M RIFAT JUNIARDO S","male"
"NIDIA SUSANTI","female"
"R O D J A L I","male"
"NURYANI S.","female"
"DEWI ASTARI","female"
"IR.SOENARJANTO PJ","male"
"NURFIYANA ASFIL","female"
"JOEL OSWALDO MARSAHALA","male"
"SHENDY","male"
"RD RORO IRMA SETYOWATI","female"
"CHAERUNNISA WULANDARI MANAF","female"
"SRI MARYATI","female"
"SUGENG HANDOKO","male"
"NILUH ARCHI SRI RAMANDARI","female"
"RR. SRIE SUPARTILAH","female"
"MASTUROH","female"
"IRFAN ARDI TASYA, ST","male"
"RATIEH MICHELIA PATTINAYA","female"
"FERONIKA MANULLANG","female"
"DAISY HARJANTO","female"
"MUHAMAD YUSUP","male"
"ASYROF HUSEIN PULUNGAN","male"
"ROBERT SAUR SITOMPUL","male"
"NOVRIALDI,ST","male"
"MELISAWATI","female"
"DR.B.WIDJAJA SP.PK(K)","male"
"HENDRICK HASIHOLAN PANJAITAN","male"
"YUNITA UTAMININGSIH","female"
"ERVIN IRAWAN","male"
"IGNATIUS JIMMY WIDJAJA","male"
"SUDARMILAH","female"
"SUNARSIH","female"
"JUANDY TAN","male"
"CHRISTINE NATALIA","female"
"ELISABETH JASINTA","female"
"MUTIA HARYANI","female"
"HENIANA HALIM","female"
"DINAR PRABAWATI","female"
"NURMIYATI","female"
"MUDJIDAL NOOR DALIYO","male"
"SAIDIH BIN RIIH","male"
"DRS TAMSER SUPIK","male"
"KRIS SETYANI","female"
"RIANDHANI","male"
"FIORRI ALFIANTRI BUDIARTO","male"
"FETHRIAN SYAHRI RANGKUTI","male"
"AHMAD WILDAN NIZHAMI","male"
"MUHAMAD BAHRAIN","male"
"MUHAMMAD RIDWAN","male"
"RAHMAT HIDAYAT","male"
"SUMIYATI","female"
"ANAH","female"
"NURUL LAILA RAHMADANI","female"
"ENDAH KRISTIANA","female"
"JAHJA SETIAATMADJA","male"
"FADILAH DINAR","female"
"FRANCISCUS LUGITO","male"
"ERNAH","female"
"NURHALIMAH","female"
"DAILAMI","male"
"SITI BALKIS","female"
"DEWI WULAN SARI","female"
"ALPI ARIWIDAYANTI","female"
"EZRA RAPALI","male"
"YOUNG EUN CHOI KIM","male"
"CHRISTINA DESI","female"
"MUDA ARIAMAN","male"
"ANGGODO WIDJOJO","male"
"YANTI RACHMAWATI","female"
"ASTRI APRILIYA","female"
"LASDI SUWARNO","male"
"HUZAIN","male"
"ABDUL SOMAD","male"
"IR PRASTORO YUWONO","male"
"SOEDIYO","male"
"",""
"RINA NURUL SAFITRI","female"
"IRAWAN","male"
"SUHARTATIK","female"
"MUHAMMAD RIZKY DARMAWAN","male"
"ANITA SIDHARTA","female"
"DESIH","female"
"QURROTU AINI","female"
"SYIFA FAJAR AMALIA","female"
"SITI RAHAYU","female"
"MUHAMMAD SYARIF","male"
"FRANCISCUS RONNY PUTRAJAYA","male"
"PRIYANGGA MULIA","male"
"MAYA INDRAYANI","female"
"ADE PURWANTO","male"
"AGUNG JAYA MULYA","male"
"T SUBIYANTI","female"
"LIBIA AURANTI,SH","female"
"HADIWINATA SH","male"
"JEFRI ANDRIANI","male"
"BERNARDUS BANDERA SWASTONO","male"
"YUSAR MALIK SURYAWAN","male"
"NURWANAH","female"
"DEVA SAVIRA","female"
"ELLI HERAWATI","female"
"AMANDA PERMATASARI","female"
"SURKAN SUHAIMI SE","male"
"ANA NATALIA DWI A.KORUA","female"
"M U Y A H","female"
"H HARUN KADARUSMAN","male"
"FITRIANTY","female"
"WUNTATI PRIHATINI","female"
"KASIDI","male"
"OK BRAMANTIA NUGRAHA","male"
"KAIRUNI","female"
"NOR ZAMAN","male"
"PUJI ANDRIATI","female"
"SRI RAHAYU","female"
"DESI SRI LESTARI","female"
"PRIYANTO ADI WIBOWO","male"
"CLARIETTA WANNY NARPATI","female"
"SITI NURMALA","female"
"NUROH","female"
"YENNY","female"
"OLIVIA YAP","female"
"IWAN SETIAWAN","male"
"AGUNG JAKARIA","male"
"HETI KUSMAYANTI","female"
"H IR CHALILULLAH RANGKUTI","male"
"",""
"H WARMAN SUDRAJAT","male"
"MUTIARA DEFI","female"
"MUTIA","female"
"RIKE PRAMESWARI","female"
"ANNY SUGIARTO","male"
"R O S N A N I","female"
"TJATEM","female"
"FEMMYLIA NURUL AKBAR","female"
"HJ TASIAH","female"
"H BASUKI","male"
"PATRICIA","female"
"RAMADHANY ANDRYANTO","male"
"EDI JAJANG","male"
"SEPTIAN DARMA PUTRA SIAGIAN","male"
"RIZKY KURNIAWAN","male"
"SULAIMAN","male"
"YIERICK PORAYOUW","male"
"SOLEMAN","male"
"DRA. DWI KURNIA SURYANI","female"
"SYAIFUL BAKHRI","male"
"DJUMISAH","female"
"LITA ANDAYANI SH","female"
"ASYIAH","female"
"AMI SAFITRI","female"
"TEJO SULAKSONO","male"
"TAN ERNA NIO","female"
"DWI RABITA","male"
"FRANSISKA. S.","female"
"SUSI KRISTIANA","female"
"DESTIAWARTI","female"
"WAHYU HARTANTO","male"
"MARYANTI","female"
"MOEGI TEGUH JUWONO","male"
"ANITA","female"
"ANISA SUMINAR","female"
"DWITA SARI","female"
"S I S W O Y O","male"
"SITI ANGGRAINI KHODIJAH","female"
"DEVINA ELIZABETH PUTRI","female"
"FIRDAUS","male"
"GRISELDA ROSINTHA S","female"
"ARSYA HUSNAN","male"
"M REYNALDY AIMAN. S","male"
"KHADIJAH","female"
"BENAR DETHA DEWI SARTIKA","female"
"SUPARTAWIJAYA","male"
"RUSTINI","female"
"NY ROKAYAH","female"
"T.SYAHRIAL A.S","male"
"DR LUCAS MULIA SUHARDJA","male"
"CITRA NOVIANTI","female"
"EDWARD KURNIAWAN","male"
"I.B HERU PURWANTO","male"
"NURHIDAYATI","female"
"JUIMARNO LINGGA","male"
"SUHENDRO MANURUNG","male"
"SURTINI","female"
"FAUZUL","male"
"ZAFIRA SABILA","female"
"INESTYA MUSLICHA DI GIORGIO","female"
"RISTIA YUSFANI","female"
"TIJAN","male"
"PUTERA FAJAR SANTOSA","male"
"ROBERTO ABE DEWANTO","male"
"HUSNAH YATI","female"
"RIKO ARDIANTO PRATAMA","male"
"LIES HENDRIANI","female"
"AGUS SUTANTO","male"
"PITALIA WINATA","female"
"SARING","male"
"DENI ELIYANTI","female"
"AWFA AHDI GHULAM","male"
"HANDAJANTO SUNDOJO","male"
"MULYANI","female"
"DARISAH","female"
"HERMANSYAH KUSASI","male"
"VICTOR HADINATA","male"
"SITI NURHAYA","female"
"AHMAD NOVIANTO","male"
"HJ.DAHLIA","female"
"SYAHADA","female"
"ELISAWATI","female"
"EDWIN PRATAMA ARDAN","male"
"ALISHA ARBAYA","female"
"ARFINDA","female"
"GEREMY GANDHI MANSUKHANI","male"
"ARDUSNI","female"
"JIHAAN NABIILAH","female"
"HUZAEMAH","female"
"SUZANNA THEODORIA","female"
"JEFFREY SUTANTO","male"
"NY. SONYA C.OROH","female"
"DR.JUSTIKA BAHARSYAH","female"
"AZWAR","male"
"RIFADLY BOEDI AGUSTIAN","male"
"SYIFA FAUZIAH FACHRANI","female"
"REZA EDDY FRANCISCUS","male"
"EDY S","male"
"DIAN KRISMINA GANI","female"
"ERRA MANIARA","female"
"AFNIDAWATI","female"
"FRANSISCUS JONAS SALIM","male"
"SUWANDI","male"
"AGUS MAULANA","male"
"AMELIA DJAMAOEDIN SH MH","female"
"MILANA","female"
"ANDARLIS","male"
"RIKO PURWANTO","male"
"DRA.SIANAWATI SUGENG","female"
"ACHMAD SURYANA","male"
"RUDIYANTO","male"
"KIKI AMELIA MUCHAROMAH","female"
"AGUS HARIYANTO","male"
"SUHERMAN","male"
"KUSNAN","male"
"KAHFI ANSYAH","male"
"ARYATI BINTI AHIB","female"
"HENDRA CHAIDIR","male"
"TUTI HERMASARI","female"
"DOORTJE CHARLOTE RARUNG","female"
"YAN PRATAMA ADI SAPUTRA","male"
"MARYATI","female"
"AISHA MITA HABIR","female"
"AFRAN","male"
"YAHYA","male"
"LINA SURANTO","female"
"SUHAIBAH","female"
"DRG WILLY F HATUMESEN","female"
"DRS. M. TAUHID","male"
"KLENTENG ANIDA","female"
"JODY KEZIA LABBAIKA","female"
"MARHAMAH","female"
"ETI SURATMI","female"
"MOHAMAD AZWARDI","male"
"INDRA PUTRAJAYA","male"
"ELIZABETH ARIESTIA MS","female"
"IRMA ARYANTI","female"
"PRAMITA WIYARTI","female"
"BAMBANG RIANTO BRATA K","male"
"NURTINA HARRAS","female"
"IHDA","female"
"HALIDA MAYASARI","female"
"MUHAMMAD SYAUKANI","male"
"ABDUL KAFI","male"
"",""
"MARYATI","female"
"PRETTY E M T BUDHIPARAMA","female"
"ARIF SUHERMAN","male"
"DJAELANI","male"
"JOHANES B.BUDIHARDJA","male"
"PRADIPTA TRI PURUSA ST","male"
"RISKI AMALIA","female"
"VENY RACHMAN","female"
"I D R I S","male"
"KARTINI","female"
"LILY SURYANTI DHARMA","female"
"ARIE SUSILO DINATA","male"
"ZOE MILLENIA","female"
"ETTY NURGIANTI","female"
"SISWANTO HARJANTO","male"
"RAHMAWATI","female"
"DIAN CAHYADI","male"
"GORTAP SIHOMBING","male"
"JANIH BIN NIUN","male"
"LULU WIRDA HANIFA","female"
"RAHMAD ARDIANSYAH","male"
"HALIDA MUTIA","female"
"ERNAWATI","female"
"",""
"TITAN RUSSO","male"
"IRMA NOVITA","female"
"NY.IMAS SOEGIHARTO","female"
"H SUNARDI","male"
"SAIPUL","male"
"SAWIYAH","female"
"RATNO RUDOLF","male"
"MASTRI ALFI","female"
"ANDIKA SYAHALAM","male"
"FADHILLA ADI NUGROHO","male"
"ROHMANI BT KARIM","female"
"SARKIYAH","female"
"DETY EKA PRATIDINA","female"
"FX SOETANDIJONO","male"
"RITA AMELIA","female"
"ERMAWATI","female"
"RATNA NINGSIH SE","female"
"MOHMAN VERDIANSYAH","male"
"DJUBAEDAH","female"
"ISTIQOMAH","female"
"JENNIE BRENDA","female"
"MAISAROH","female"
"DYAH NARINDRASARI","female"
"TONI SETIAJI","male"
"ACHMAD FARID WAJDI","male"
"",""
"RATIH WIJAYANTI, SH","female"
"DR.SUDADI HIRAWAN.MS.SPOK","male"
"RITA HERLIANI","female"
"ROHMAWATI","female"
"RIZWAN PURWANTA","male"
"JUFRI","male"
"WAN ZHAHRAAN HARAHAP","female"
"FELIYA LESMANA","female"
